ack,ack_A,ack_B,bytes,bytes_A,bytes_A_B_ratio,bytes_B,ds_field_A,ds_field_B,duration,http_GET,http_POST,http_bytes_avg,http_bytes_entropy,http_bytes_firstQ,http_bytes_max,http_bytes_median,http_bytes_min,http_bytes_stdev,http_bytes_sum,http_bytes_thirdQ,http_bytes_var,http_cookie_count,http_cookie_values_avg,http_cookie_values_entropy,http_cookie_values_firstQ,http_cookie_values_max,http_cookie_values_median,http_cookie_values_min,http_cookie_values_stdev,http_cookie_values_sum,http_cookie_values_thirdQ,http_cookie_values_var,http_count_host,http_count_req_content_type,http_count_resp_code,http_count_resp_content_type,http_count_transactions,http_count_user_agents,http_dom_host_alexaRank,http_dom_resp_code,http_has_location,http_has_referrer,http_has_req_content_type,http_has_resp_content_type,http_has_user_agent,http_inter_arrivel_avg,http_inter_arrivel_entropy,http_inter_arrivel_firstQ,http_inter_arrivel_max,http_inter_arrivel_median,http_inter_arrivel_min,http_inter_arrivel_stdev,http_inter_arrivel_sum,http_inter_arrivel_thirdQ,http_inter_arrivel_var,http_req_bytes_avg,http_req_bytes_entropy,http_req_bytes_firstQ,http_req_bytes_max,http_req_bytes_median,http_req_bytes_min,http_req_bytes_stdev,http_req_bytes_sum,http_req_bytes_thirdQ,http_req_bytes_var,http_resp_bytes_avg,http_resp_bytes_entropy,http_resp_bytes_firstQ,http_resp_bytes_max,http_resp_bytes_median,http_resp_bytes_min,http_resp_bytes_stdev,http_resp_bytes_sum,http_resp_bytes_thirdQ,http_resp_bytes_var,http_time_avg,http_time_entropy,http_time_firstQ,http_time_max,http_time_median,http_time_min,http_time_stdev,http_time_sum,http_time_thirdQ,http_time_var,packet_inter_arrivel_A_avg,packet_inter_arrivel_A_entropy,packet_inter_arrivel_A_firstQ,packet_inter_arrivel_A_max,packet_inter_arrivel_A_median,packet_inter_arrivel_A_min,packet_inter_arrivel_A_stdev,packet_inter_arrivel_A_sum,packet_inter_arrivel_A_thirdQ,packet_inter_arrivel_A_var,packet_inter_arrivel_B_avg,packet_inter_arrivel_B_entropy,packet_inter_arrivel_B_firstQ,packet_inter_arrivel_B_max,packet_inter_arrivel_B_median,packet_inter_arrivel_B_min,packet_inter_arrivel_B_stdev,packet_inter_arrivel_B_sum,packet_inter_arrivel_B_thirdQ,packet_inter_arrivel_B_var,packet_inter_arrivel_avg,packet_inter_arrivel_entropy,packet_inter_arrivel_firstQ,packet_inter_arrivel_max,packet_inter_arrivel_median,packet_inter_arrivel_min,packet_inter_arrivel_stdev,packet_inter_arrivel_sum,packet_inter_arrivel_thirdQ,packet_inter_arrivel_var,packet_size_A_avg,packet_size_A_entropy,packet_size_A_firstQ,packet_size_A_max,packet_size_A_median,packet_size_A_min,packet_size_A_stdev,packet_size_A_sum,packet_size_A_thirdQ,packet_size_A_var,packet_size_B_avg,packet_size_B_entropy,packet_size_B_firstQ,packet_size_B_max,packet_size_B_median,packet_size_B_min,packet_size_B_stdev,packet_size_B_sum,packet_size_B_thirdQ,packet_size_B_var,packet_size_avg,packet_size_entropy,packet_size_firstQ,packet_size_max,packet_size_median,packet_size_min,packet_size_stdev,packet_size_sum,packet_size_thirdQ,packet_size_var,packets,packets_A,packets_A_B_ratio,packets_B,push,push_A,push_B,reset,reset_A,reset_B,ssl_count_certificates,ssl_count_client_cipher_algs,ssl_count_client_ciphersuites,ssl_count_client_compressions,ssl_count_client_elliptic_curves,ssl_count_client_key_exchange_algs,ssl_count_client_mac_algs,ssl_count_server_ciphersuite,ssl_count_server_compression,ssl_count_server_elliptic_curve,ssl_count_server_name,ssl_count_transactions,ssl_count_version,ssl_dom_server_ciphersuite,ssl_dom_server_name_alexaRank,ssl_dom_version,ssl_handshake_duration_avg,ssl_handshake_duration_entropy,ssl_handshake_duration_firstQ,ssl_handshake_duration_max,ssl_handshake_duration_median,ssl_handshake_duration_min,ssl_handshake_duration_stdev,ssl_handshake_duration_sum,ssl_handshake_duration_thirdQ,ssl_handshake_duration_var,ssl_ratio_client_elliptic_curves,ssl_ratio_server_name,ssl_req_bytes_avg,ssl_req_bytes_entropy,ssl_req_bytes_firstQ,ssl_req_bytes_max,ssl_req_bytes_median,ssl_req_bytes_min,ssl_req_bytes_stdev,ssl_req_bytes_sum,ssl_req_bytes_thirdQ,ssl_req_bytes_var,ssl_resp_bytes_avg,ssl_resp_bytes_entropy,ssl_resp_bytes_firstQ,ssl_resp_bytes_max,ssl_resp_bytes_median,ssl_resp_bytes_min,ssl_resp_bytes_stdev,ssl_resp_bytes_sum,ssl_resp_bytes_thirdQ,ssl_resp_bytes_var,tcp_analysis_duplicate_ack,tcp_analysis_keep_alive,tcp_analysis_lost_segment,tcp_analysis_out_of_order,tcp_analysis_retransmission,tcp_analysis_reused_ports,ttl_A_avg,ttl_A_entropy,ttl_A_firstQ,ttl_A_max,ttl_A_median,ttl_A_min,ttl_A_stdev,ttl_A_sum,ttl_A_thirdQ,ttl_A_var,ttl_B_avg,ttl_B_entropy,ttl_B_firstQ,ttl_B_max,ttl_B_median,ttl_B_min,ttl_B_stdev,ttl_B_sum,ttl_B_thirdQ,ttl_B_var,ttl_avg,ttl_entropy,ttl_firstQ,ttl_max,ttl_median,ttl_min,ttl_stdev,ttl_sum,ttl_thirdQ,ttl_var,is_ssl,is_http,is_g_http,is_cdn_http,is_img_http,is_ad_http,is_numeric_url_http,is_numeric_url_with_port_http,is_tv_http,is_cloud_http,B_is_system_port,B_is_user_port,B_is_dynamic_and_or_private_port,B_port_is_11095,B_port_is_1900,B_port_is_5222,B_port_is_5223,B_port_is_5228,B_port_is_54975,B_port_is_80,B_port_is_8080,B_port_is_8280,B_port_is_9543,B_port_is_else,subdomain_is_99sets,subdomain_is_ccc,subdomain_is_else,subdomain_is_feeds,subdomain_is_h10141.www1,subdomain_is_img,subdomain_is_unresolved,subdomain_is_whp.aus1.cold.extweb,subdomain_is_whp.hou9.cold.extweb,subdomain_is_www,subdomain_is_www.cloud,domain_is_dlink,domain_is_else,domain_is_epicurious,domain_is_google,domain_is_hp,domain_is_hpeprint,domain_is_livecdn,domain_is_mako,domain_is_proteussensor,domain_is_samsung,domain_is_unresolved,suffix_is_biz,suffix_is_cloudfront.net,suffix_is_co.il,suffix_is_com,suffix_is_com.sg,suffix_is_else,suffix_is_empty_char_value,suffix_is_googleapis.com,suffix_is_net,suffix_is_org,suffix_is_unresolved,device_category
9,5,5,1213,743,0.713924473,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81793649,4.754887502,0.356298208,10.58417296,0.501178026,0,4.625940253,7063.094895,0.538111925,21.39932322,0.22399497,2,0.067094904,0.342990351,0.16602664,0,0.115841684,0.551958263,0.244937596,0.013419296,3.122499954,4.889680181,0.0035519,10.58417296,0.354242921,0,4.375923951,7063.094895,0.534085768,19.14871042,41.14893617,0.850178203,0,195,0,0,65,316,50,4225,131.0866834,0.680702112,0,477,0,0,86.83875768,477,129,7540.969835,64.625,1.061278124,0,477,0,0,103.577739,679,60.5,10728.34801,10,5,0.542603584,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,64,0,64,64,64,64,0,7140,64,0,44,0,44,44,44,44,0,512,44,0,56.96509059,0.935617256,44,64,64,44,9.552411201,7140,64,91.24855975,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.806873527,668,0,0,0.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043064058,3.5,9.54E-07,0.195948839,0.011465549,0,0.057043676,0.689024925,0.085982859,0.003253981,0.046643294,2,0,0.286142826,9.54E-07,0,0.085642365,0.551958263,0.088184834,0.007334615,0.022967498,3.864853098,9.54E-07,0.195948839,0.001270652,0,0.045001936,0.689024925,0.017653823,0.002025174,41.14893617,0.850178203,0,195,0,0,65,316,0,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.823480972,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1088,64,0,129.8,0.371232327,107,235,108,42,51.58141969,512,229,2660.642857,135,1.160887129,64,235,64,42,79.31015067,4185,235,6290.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,0.103124008,668,0,0,0.9852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020524412,4.754887502,0.001579523,0.12192297,0.001921058,9.54E-07,0.03624348,0.985171795,0.013638854,0.00131359,0.032042069,2,0.002094209,0.196619034,0.003602386,9.54E-07,0.052938628,0.551958263,0.041512907,0.002802498,0.012794439,4.889680181,0.001548052,0.103087902,0.002154827,9.54E-07,0.02499367,0.985171795,0.007520914,0.000624684,41.14893617,0.850178203,0,195,0,0,65,316,50,4225,121.4827586,0.918295834,0,477,0,0,275.3960784,477,31,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.591824657,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,3136,64,0,129.8,0.216396932,107,235,108,43,35.65350493,512,229,1271.172414,125.1153846,1.03249555,64,235,64,43,79.31015067,7140,235,6290.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178557674,3.418295834,0.002477586,0.425632,0.11748898,0,0.183261019,2.142692089,0.361197591,0.033584601,0.161996278,2,1.55E-06,0.342990351,0.003484964,0,0.115841684,0.551958263,0.244937596,0.013419296,0.089278837,4.251629167,0.000599027,0.399153948,0.00318253,0,0.14997768,2.142692089,0.096273482,0.022493304,41.14893617,0.850178203,0,195,0,0,65,316,31,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,832,64,0,42,0,42,42,42,42,0,504,42,0,53.44,0.998845536,42,64,64,42,11.21784293,1336,64,125.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170561751,3.584962501,0.003391683,0.406018972,0.061884522,0,0.188883406,2.046741009,0.37396735,0.035676941,0.208749384,2,1.43E-06,0.342990351,0.16602664,0,0.115841684,0.551958263,0.244937596,0.013419296,0.097463858,4.165894208,0.00079298,0.403407097,0.004257917,0,0.161858975,2.046741009,0.112199068,0.026198328,41.14893617,0.850178203,0,195,0,0,65,316,31,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.692254442,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,832,64,0,42,0,42,42,42,42,0,378,42,0,55,0.976020648,42,64,64,42,11.07119815,1210,64,122.5714286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,0.061268817,668,0,0,1.3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013115524,4.754887502,0.001578569,0.134036064,0.001651049,0,0.027307724,1.350898981,0.004179478,0.000745712,0.018181327,2,0.001365781,0.196637154,0.003054976,0,0.038674288,0.551958263,0.010677218,0.001495701,0.007763787,4.889680181,0.00144726,0.121919155,0.001621962,0,0.01810303,1.350898981,0.003100216,0.00032772,41.14893617,0.850178203,0,195,0,0,65,316,50,4225,49.61971831,0.918295834,0,477,0,0,219.419713,477,0,48145.01046,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.682685743,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,6656,64,0,129.8,0.106792032,107,235,108,43,22.78620784,512,229,519.2112676,132.28,1.017522301,64,235,64,43,79.31015067,7140,235,6290.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200895588,3.418295834,0.000981271,0.468700171,0.193058014,9.54E-07,0.204996124,2.410747051,0.381503463,0.042023411,0.22399497,2,1.85E-06,0.342990351,0.16602664,0,0.115841684,0.551958263,0.244937596,0.013419296,0.114797479,4.165894208,2.15E-06,0.405019999,0.006793976,0,0.16887988,2.410747051,0.35155201,0.028520414,41.14893617,0.850178203,0,195,0,0,65,316,31,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.692254442,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,832,64,0,42,0,42,42,42,42,0,378,42,0,55,0.976020648,42,64,64,42,11.07119815,1210,64,122.5714286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231155927,3.700439718,0.001737118,0.743208885,0.163923979,0,0.264917076,3.005027056,0.375725985,0.070181057,0.219903816,2,0.000533462,0.342990351,0.041452885,0,0.115841684,0.551958263,0.244937596,0.013419296,0.120201082,4.45366069,0.001065016,0.397198915,0.013422012,0,0.14598977,3.005027056,0.219669104,0.021313013,41.14893617,0.850178203,0,195,0,0,65,316,50,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,64,64,64,64,0,896,64,0,44,0,44,44,44,44,0,512,44,0,54.76923077,0.995727452,44,64,64,44,10.16782255,1424,64,103.3846154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,0.053722458,668,0,0,1.2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01250236,4.754887502,0.00156796,0.155145884,0.00177598,0,0.029295449,1.287743092,0.004956484,0.000858223,0.020840105,2,0.002840042,0.203626156,0.005167007,0,0.044017244,0.551958263,0.012195826,0.001937518,0.007998404,4.889680181,0.001554012,0.102981806,0.001968145,0,0.019319027,1.287743092,0.004327059,0.000373225,41.14893617,0.850178203,0,195,0,0,65,316,50,4225,60.74137931,0.918295834,0,477,0,0,241.7396425,477,0,58438.05475,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.557686945,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,6656,64,0,129.8,0.12565805,107,234,108,42,25.21083511,512,229,635.5862069,123.6790123,0.986019994,64,234,64,42,79.31015067,7140,234,6290.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262523541,3.700439718,0.001091003,1.009096861,0.191012144,1.19E-06,0.328118428,3.412806034,0.360463142,0.107661703,0.22399497,2,1.73E-06,0.342990351,0.011176944,9.54E-07,0.115841684,0.551958263,0.244937596,0.013419296,0.131261771,4.546593564,0.000859022,0.658906937,0.015227437,9.54E-07,0.183389075,3.412806034,0.308398843,0.033631553,41.14893617,0.850178203,0,195,0,0,65,316,50,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,64,64,64,64,0,896,64,0,42,0,42,42,42,42,0,512,42,0,53.40740741,0.999010271,42,64,64,42,11.2018517,1442,64,125.4814815,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
